20:10:18,337 [main] INFO  MultiChartView - Init Start
20:10:54,688 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-03,9.820000,9.830000,9.790000,9.810000,9.810000,436300
20:10:54,689 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-04,9.818000,9.820000,9.800000,9.810000,9.810000,30700
20:10:54,691 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-05,9.830000,9.830000,9.790000,9.820000,9.820000,63800
20:10:54,693 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-08,9.820000,9.820000,9.800000,9.810000,9.810000,210900
20:10:54,694 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-09,9.820000,9.830000,9.780000,9.810000,9.810000,663500
20:10:54,696 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-10,9.810000,9.860000,9.780000,9.850000,9.850000,432500
20:10:54,698 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-11,9.850000,9.850000,9.820000,9.840000,9.840000,614600
20:10:54,699 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-12,9.850000,9.850000,9.810000,9.850000,9.850000,463500
20:10:54,701 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-15,9.850000,9.850000,9.820000,9.840000,9.840000,103500
20:10:54,703 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-16,9.840000,9.850000,9.810000,9.830000,9.830000,273200
20:10:54,704 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-17,9.820000,9.840000,9.800000,9.815000,9.815000,94100
20:10:54,706 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-18,9.820000,9.850000,9.810000,9.820000,9.820000,528600
20:10:54,709 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-19,9.840000,9.840000,9.790000,9.820000,9.820000,988400
20:10:54,711 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-22,9.820000,9.850000,9.810000,9.850000,9.850000,259400
20:10:54,723 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-23,9.840000,9.840000,9.790000,9.830000,9.830000,386300
20:10:54,725 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-24,9.840000,9.840000,9.810000,9.818000,9.818000,188900
20:10:54,728 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-26,9.790000,9.820000,9.780000,9.800000,9.800000,278800
